Date,Amount,Category,Notes
2025-10-19,25000,🚗 Transportasi,Bus ke Kantor 
2025-10-19,33000,🍔 Makan & Minum,KFC Winger
2025-10-19,32500,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-10-20,6045,🎁 Kado & Donasi,Patungan Kue Mas Rizki 
2025-10-20,100000,🛒 Bahan Dapur,Weekly Groceries
2025-10-20,25000,🚗 Transportasi,Bensin Full
2025-10-21,39600,💊 Kesehatan,Lourier x2
2025-10-21,12500,🍿 Hiburan,Masuk Pacet
2025-10-21,4158,🎁 Kado & Donasi,Patungan Kue 
2025-10-21,40000,🍔 Makan & Minum,Makan Siang
2025-10-22,20000,🚗 Transportasi,Bensin di Jalanan Cangar
2025-10-23,33500,🚗 Transportasi,Gojek Ibu ke Rumah 
2025-10-23,25000,🚗 Transportasi,Bus ke Kantor 
2025-10-23,12500,🍔 Makan & Minum,Nasi 4T
2025-10-06,63800,🍔 Makan & Minum,Gofood
2025-10-09,295000,💊 Kesehatan,Rontgen gigi
2025-10-11,500000,💊 Kesehatan,Cabut gigi bungsu atas
2025-10-06,119000,🚗 Transportasi,PP Gojek+Gocar (Rumah-Bureau-Kampus-Kampus-Rumah P.Aji)
2025-10-09,52000,🚗 Transportasi,PP Kampus-Bureau-SIMA-Rumah
2025-10-10,12500,🚗 Transportasi,PP Kampus
2025-10-10,17000,🍔 Makan & Minum,Makan siang
2025-10-11,50500,🚗 Transportasi,Gojek Kampung & Rumah
2025-10-12,37000,🚗 Transportasi,PP Kampus-Rumah-Kampus
2025-10-12,40000,🧾 Tagihan & BIaya-biaya,Paket internet
2025-10-12,67000,🍔 Makan & Minum,Konsumsi mahasiswa TEFA
2025-10-12,29859,🧾 Tagihan & BIaya-biaya,Google Play
2025-10-13,12500,🚗 Transportasi,PP Kampus
2025-10-13,21000,🍔 Makan & Minum,Makan siang
2025-10-14,59000,🍔 Makan & Minum,Bakso
2025-10-16,19500,🚗 Transportasi,PP Kampus
2025-10-17,34000,🚗 Transportasi,PP Kampus-Rumah
2025-10-17,27300,🍔 Makan & Minum,Makan siang 
2025-10-19,6500,🧾 Tagihan & BIaya-biaya,Pulsa
2025-10-19,10000,🧾 Tagihan & BIaya-biaya,PP Kampus
2025-10-20,18500,🍔 Makan & Minum,Maksi
2025-10-23,10000,🚗 Transportasi,PP Kampus
2025-10-24,22500,🚗 Transportasi,PP Kampus
2025-10-23,20711,🎲 Lain-lain,Piutang Kepanitiaan (Delete soon after reimburse)
2025-10-24,20000,🍔 Makan & Minum,Nasi Bakar 
2025-10-24,32000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-10-24,31000,🎲 Lain-lain,Buah
2025-10-25,70000,🍔 Makan & Minum,Ayam Lodho
2025-10-25,15000,🥫Jajan,Gorengan + Cucur
2025-10-25,32150,🛒 Bahan Dapur,"Udang, Pop Mie, Agarasa"
2025-10-26,33000,🚗 Transportasi,Gojek Ibu ke Kampung 
2025-10-26,25000,🚗 Transportasi,Bus ke Kantor 
2025-10-26,31000,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-10-26,21000,🥫Jajan,Macaroni
2025-10-27,9200,🧾 Tagihan & BIaya-biaya,Sponge Cuci Piring
2025-10-27,100000,🛒 Bahan Dapur,Weekly Groceries 
2025-10-27,63500,🚗 Transportasi,Gocar ke Kampung
2025-10-27,5000,🚗 Transportasi,Tip Driver Gocar
2025-10-28,20000,🍿 Hiburan,Renang x2 Tiket 
2025-10-29,25000,💊 Kesehatan,Potong Rambut 
2025-10-30,25000,🚗 Transportasi,Bus ke Kantor 
2025-10-30,5714,🎁 Kado & Donasi,Patungan Kue mbak 
2025-10-30,27500,🍔 Makan & Minum,Mr Suprek
2025-10-31,20000,🍔 Makan & Minum,Nasi Bakar
2025-02-24,50000,🍔 Food & Beverages,Food & Beverages
2025-10-31,31500,🚗 Transportasi,Bus ke Kota & Parkir Terminal 
2025-10-31,6002,🥫Jajan,Gacoan
2025-10-31,30000,💊 Kesehatan,Ronde x3
2025-10-30,20000,🛒 Bahan Dapur,Gas LPG
2025-04-08,200000,🥫 Snacks,Snacks
2025-06-19,300000,🚗 Transportation,Transportation
2025-08-07,25000,🥫 Snacks,Belanja snack
2025-08-27,10000,🥫 Snacks,Snack
